# Source ID         Name               RA               Dec              TYPE
#-------------------------------------------------------------------------------
B1929+10          B1929+10        19:32:14.0570     +10:59:33.380         PSR
SWIFT1818        J1818-1607       18:18:00.23       -16:07:53.0           MAG
sgr1935          J1935+2154       19:34:55.68       +21:53:48.2           MAG
sgra1935         J1935+2154       19:34:55.68       +21:53:48.2           MAG
B0329+54          B0329+54        03:32:59.33707    +54:34:45.0282        PSR
B1937+21          B1937+21        19:39:38.561      +21:34:59.119         PSR
B0531+21          B0531+21        05:34:31.973      +22:00:52.06          PSR
J1746-2850RW     J1746-2850       17:46:06.9586     -28:51:04.5418        PSR

SFR-M77             M77           02:42:40.709      -00:00:47.86          FRB
SFR-M82             M82           09:55:52.430      +69:40:46.93          FRB
FRB-KAT001       FRB-KAT001       21:44:20.7000     -79:19:05.5000        FRB
FRB-M81             M81R          09:57:54.7135     +68:49:00.766         FRB
F20201124A          R67           05:08:03.5073     +26:03:38.5032        FRB
FRBR67              R67           05:08:03.5073     +26:03:38.5032        FRB
FRB220912A      FRB220912A        23:09:04.9        +48:42:25.4           FRB

A0535+262         A0535+262       05:38:54.57489    +26:18:56.8369        XRB
